run_id,task,note,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,timestamp
r1,bootstrap,count,1,5200000,5100000,0,2025-10-23T15:44:08Z
r1,bootstrap,count_collect,1,5200000,0,0,2025-10-23T15:44:10Z
r1,bootstrap,anonfun_complete_future,1,58,0,11600000,2025-10-23T15:44:15Z
r1,bootstrap,anonfun_complete_future_2,1,5400000,0,11100000,2025-10-23T15:44:12Z
r1,bootstrap,anonfun_complete_future_3,1,0,5400000,0,2025-10-23T15:44:12Z
r1,bootstrap,anonfun_complete_future_4,1,118,0,0,2025-10-23T15:44:11Z
r1,bootstrap,show_string,1,4300000,0,0,2025-10-23T15:44:12Z
r2,perfect_followers,reduceByKey_stage6,1,5400000,0,11100000,2025-10-23T15:44:12Z
r2,perfect_followers,count,1,3300000,3300000,0,2025-10-23T15:44:17Z
r2,perfect_followers,reduceByKey,1,3300000,0,320900,2025-10-23T15:44:18Z
r2,perfect_followers,collect,1,0,320900,0,2025-10-23T15:44:17Z
r2,perfect_followers,runJob,1,0,6700000,0,2025-10-23T15:44:24Z
r3,pmi_pairs,count_stage11,1,3300000,3300000,0,2025-10-23T15:44:17Z
r3,pmi_pairs,reduceByKey_stage12,1,3300000,0,19800000,2025-10-23T15:44:18Z
r3,pmi_pairs,csv_write_stage15,1,0,19800000,3100,2025-10-23T15:44:25Z
r4,pmi_stripes,reduceByKey_stage18,1,3300000,0,320900,2025-10-23T15:44:28Z
r4,pmi_stripes,collect_stage19,1,0,320900,0,2025-10-23T15:44:28Z
r4,pmi_stripes,reduceByKey_stage20,1,3300000,0,13600000,2025-10-23T15:44:29Z
r4,pmi_stripes,runJob_stage21,1,0,6700000,0,2025-10-23T15:44:30Z
r4,pmi_stripes,csv_write_stage23,1,0,13600000,3600,2025-10-23T15:44:31Z
r4,pmi_stripes,csv_write_stage24,1,1710,0,3600,2025-10-23T15:44:31Z
