x,y,count,pmi
mell,pell,5,4.309835911819968
pell,mell,5,4.309835911819968
sauf,votre,5,4.133744652764287
votre,sauf,5,4.133744652764287
jourdain,margery,5,4.054563406716662
margery,jourdain,5,4.054563406716662
cine,med,7,4.046594477045386
med,cine,7,4.046594477045386
verges,dogberry,6,3.9630484255953116
dogberry,verges,6,3.9630484255953116
timandra,phrynia,5,3.9004664413671484
phrynia,timandra,5,3.9004664413671484
il,dit,5,3.8327146571003055
dit,il,5,3.8327146571003055
envoy,l,14,3.7657678674696924
l,envoy,14,3.7657678674696924
clitus,dardanius,5,3.7077759204920056
dardanius,clitus,5,3.7077759204920056
maine,anjou,12,3.6331423021951013
anjou,maine,12,3.6331423021951013
metellus,cimber,8,3.6331423021951013
cimber,metellus,8,3.6331423021951013
cleomenes,dion,7,3.6234550347919696
dion,cleomenes,7,3.6234550347919696
haven,milford,11,3.620177325030734
milford,haven,11,3.620177325030734
tom,acold,5,3.610865907483949
acold,tom,5,3.610865907483949
weird,sisters,5,3.5938325681851686
sisters,weird,5,3.5938325681851686
cawdor,glamis,6,3.589676608414011
glamis,cawdor,6,3.589676608414011
deiphobus,antenor,5,3.5828371838837056
antenor,deiphobus,5,3.5828371838837056
alice,madame,9,3.565108416923274
madame,alice,9,3.565108416923274
owen,glendower,7,3.5638693448077254
glendower,owen,7,3.5638693448077254
je,pense,5,3.5616478848137674
pense,je,5,3.5616478848137674
silius,ventidius,5,3.543919117853336
ventidius,silius,5,3.543919117853336
guildenstern,rosencrantz,22,3.5383152403353373
rosencrantz,guildenstern,22,3.5383152403353373
dramatis,personae,36,3.531684661436324
personae,dramatis,36,3.531684661436324
rous,boist,10,3.4969225551771124
boist,rous,10,3.4969225551771124
je,ma,5,3.4947010951831543
ma,je,5,3.4947010951831543
