x,y,count,pmi
mell,pell,5,4.267109122884396
pell,mell,5,4.267109122884396
votre,sauf,5,4.091017863828714
sauf,votre,5,4.091017863828714
margery,jourdain,5,4.011836617781089
jourdain,margery,5,4.011836617781089
med,cine,7,4.003867688109814
cine,med,7,4.003867688109814
dogberry,verges,6,3.920321636659739
verges,dogberry,6,3.920321636659739
timandra,phrynia,5,3.857739652431576
phrynia,timandra,5,3.857739652431576
dit,il,5,3.789987868164733
il,dit,5,3.789987868164733
envoy,l,14,3.72304107853412
l,envoy,14,3.72304107853412
dardanius,clitus,5,3.665049131556433
clitus,dardanius,5,3.665049131556433
anjou,maine,12,3.590415513259529
metellus,cimber,8,3.590415513259529
maine,anjou,12,3.590415513259529
cimber,metellus,8,3.590415513259529
cleomenes,dion,7,3.580728245856397
dion,cleomenes,7,3.580728245856397
haven,milford,11,3.5774505360951614
milford,haven,11,3.5774505360951614
tom,acold,5,3.568139118548377
acold,tom,5,3.568139118548377
weird,sisters,5,3.551105779249596
sisters,weird,5,3.551105779249596
cawdor,glamis,6,3.5469498194784386
glamis,cawdor,6,3.5469498194784386
antenor,deiphobus,5,3.540110394948133
deiphobus,antenor,5,3.540110394948133
alice,madame,9,3.5223816279877016
madame,alice,9,3.5223816279877016
glendower,owen,7,3.521142555872153
owen,glendower,7,3.521142555872153
je,pense,5,3.518921095878195
pense,je,5,3.518921095878195
ventidius,silius,5,3.5011923289177633
silius,ventidius,5,3.5011923289177633
rosencrantz,guildenstern,22,3.495588451399765
guildenstern,rosencrantz,22,3.495588451399765
personae,dramatis,36,3.4889578725007517
dramatis,personae,36,3.4889578725007517
boist,rous,10,3.45419576624154
rous,boist,10,3.45419576624154
je,ma,5,3.451974306247582
ma,je,5,3.451974306247582
