x,y,pmi,count
rescue,rescue,3.603524371478909,6
weapons,weapons,3.603524371478909,6
scroop,stephen,3.5544872671541485,7
stephen,scroop,3.5544872671541485,7
n,stol,3.436387955076154,5
stol,n,3.436387955076154,5
shearing,sheep,3.339477942068098,5
sheep,shearing,3.339477942068098,5
bite,thumb,3.218173490114892,6
thumb,bite,3.218173490114892,6
woful,woful,3.1264031167592465,8
bishop,carlisle,3.0842054369647918,7
carlisle,bishop,3.0842054369647918,7
earl,wiltshire,3.0684111697815597,7
wiltshire,earl,3.0684111697815597,7
en,ta,3.0242075072895065,24
ta,en,3.0242075072895065,24
wine,wine,3.0014643801509466,6
drums,trumpets,2.959266700356492,5
trumpets,drums,2.959266700356492,5
undone,undone,2.9415379333960603,6
lewis,xi,2.9135092097958166,21
xi,lewis,2.9135092097958166,21
bishop,ely,2.892319910725879,6
ely,bishop,2.892319910725879,6
dido,widow,2.874591143765447,8
widow,dido,2.874591143765447,8
alban,saint,2.8721165246375917,5
saint,alban,2.8721165246375917,5
fie,fie,2.8718815803625066,42
awake,awake,2.8328226087508748,6
fain,fain,2.8328226087508748,6
tut,tut,2.8328226087508748,6
lartius,titus,2.819087997191455,7
titus,lartius,2.819087997191455,7
bawd,bawd,2.798870429827329,12
cheerly,hearts,2.7885704731875167,6
hearts,cheerly,2.7885704731875167,6
mowbray,thomas,2.7795713170319853,20
thomas,mowbray,2.7795713170319853,20
twelve,year,2.6582367046925106,5
year,twelve,2.6582367046925106,5
silver,sound,2.6124792141318354,11
sound,silver,2.6124792141318354,11
base,base,2.588712492174087,8
gaunt,john,2.5824095590710012,34
john,gaunt,2.5824095590710012,34
amen,amen,2.570264779472237,6
cross,cross,2.570264779472237,6
book,priest,2.569116936110706,5
priest,book,2.569116936110706,5
grey,vaughan,2.561326691684454,5
vaughan,grey,2.561326691684454,5
alack,alack,2.555931659797748,8
music,silver,2.548021224904917,5
silver,music,2.548021224904917,5
stir,stir,2.5332979680842107,6
harry,hereford,2.519934006526229,6
hereford,harry,2.519934006526229,6
sound,trumpet,2.519934006526229,5
trumpet,sound,2.519934006526229,5
mistress,overdone,2.513022012109899,17
overdone,mistress,2.513022012109899,17
sound,trumpets,2.5022052395657974,8
trumpets,sound,2.5022052395657974,8
fellow,tall,2.498535861824999,6
tall,fellow,2.498535861824999,6
buy,buy,2.4938631923178103,8
market,place,2.487404781699309,10
place,market,2.487404781699309,10
caius,marcius,2.4292093704490307,17
marcius,caius,2.4292093704490307,17
base,court,2.4213699070126995,9
court,base,2.4213699070126995,9
measure,measure,2.399404388822984,6
great,toe,2.389762742984252,5
toe,great,2.389762742984252,5
county,paris,2.3893913923999306,7
paris,county,2.3893913923999306,7
crowns,twenty,2.3871699324059725,5
twenty,crowns,2.3871699324059725,5
bushy,green,2.3738059708479913,5
green,bushy,2.3738059708479913,5
friar,laurence,2.3660315739826125,58
laurence,friar,2.3660315739826125,58
er,ne,2.319669548714545,58
ne,er,2.319669548714545,58
er,whate,2.319669548714545,8
whate,er,2.319669548714545,8
devil,devil,2.3060541865811484,8
e,er,2.2886353149745764,27
er,e,2.2886353149745764,27
ten,times,2.2829965861156496,12
times,ten,2.2829965861156496,12
george,saint,2.282290989726641,9
saint,george,2.282290989726641,9
cell,laurence,2.276019480283306,5
laurence,cell,2.276019480283306,5
ha,ha,2.2692347838082556,12
norfolk,thomas,2.2523277663491976,9
thomas,norfolk,2.2523277663491976,9
haste,leisure,2.2523277663491976,6
leisure,haste,2.2523277663491976,6
blows,wind,2.2483974727207654,5
wind,blows,2.2483974727207654,5
eat,sit,2.211078673350291,5
sit,eat,2.211078673350291,5
daughter,youngest,2.1975058661610176,5
youngest,daughter,2.1975058661610176,5
shed,tears,2.1947999727850926,10
tears,shed,2.1947999727850926,10
past,past,2.1930914746762515,8
servingman,third,2.1875975775007683,20
third,servingman,2.1875975775007683,20
nail,one,2.1861713217627363,8
one,nail,2.1861713217627363,8
sound,sound,2.1809718578135295,14
crowns,thousand,2.1763165670910793,5
thousand,crowns,2.1763165670910793,5
care,care,2.162743759901806,12
dark,light,2.1331918976556654,5
light,dark,2.1331918976556654,5
justice,justice,2.129962927525467,12
changed,mind,2.128773078885581,6
mind,changed,2.128773078885581,6
re,ye,2.1264031167592465,5
ye,re,2.1264031167592465,5
horse,horse,2.119993213517729,14
answer,belly,2.114168660342235,5
belly,answer,2.114168660342235,5
hark,hark,2.1115912374544243,6
horse,kingdom,2.1078950918944606,6
kingdom,horse,2.1078950918944606,6
den,god,2.1000394219661414,12
